1,Robinet,Sallie,2.4009301559999585,sallie@sample.edu
2,Alana,Ralina,37.413679249584675,ralina@sample.edu
3,Primavera,Jeralee,74.3330059107393,jeralee@sample.edu
4,Cummings,Roda,43.57896845322102,roda@sample.edu
5,Evyn,Xena,9.503646148368716,xena@sample.edu
6,Oliy,Letta,15.47442702576518,letta@sample.edu
7,Lorie,Neile,21.358143026009202,neile@sample.edu
8,Mohammed,Sally,3.6543268244713545,sally@sample.edu
9,Culver,Marylin,76.98417429346591,marylin@sample.edu
10,Joni,Dionne,88.68794662412256,dionne@sample.edu
11,Beasley,Theresina,73.27030033338815,theresina@sample.edu
12,Wiggins,Leanna,33.13774443231523,leanna@sample.edu
13,Philbin,Jerry,60.11058909352869,jerry@sample.edu
14,Torbert,Cheri,81.98960104491562,cheri@sample.edu
15,McCahill,Aindrea,80.43325692415237,aindrea@sample.edu
16,Ferdinand,Kassia,15.168005460873246,kassia@sample.edu
17,Sherrard,Lesley,13.601288665086031,lesley@sample.edu
18,Odlo,Georgina,40.9929126733914,georgina@sample.edu
19,Clarey,Philippine,82.36276500392705,philippine@sample.edu
20,Cello,Blanch,1.0172310518100858,blanch@sample.edu
21,Jelene,Nannie,42.847048258408904,nannie@sample.edu
22,Elisabeth,Joleen,25.462124031037092,joleen@sample.edu
23,Valentino,Karlotte,92.23196643870324,karlotte@sample.edu
24,Curkell,Odilia,99.42139813210815,odilia@sample.edu
25,Delastre,Benedetta,82.95574504882097,benedetta@sample.edu
26,Adrien,Elonore,76.78062219638377,elonore@sample.edu
27,Schalles,Sapphira,99.28305884823203,sapphira@sample.edu
28,Abernon,Celie,78.83285179268569,celie@sample.edu
29,Dolores,Sharyl,84.74326133728027,sharyl@sample.edu
30,Skier,Bernadine,95.19687888678163,bernadine@sample.edu
31,Gelya,Joellyn,58.952432218939066,joellyn@sample.edu
32,Adaurd,Isa,35.93716896139085,isa@sample.edu
33,Aurilia,Laureen,78.60885055270046,laureen@sample.edu
34,Tupler,Charlena,2.469192026183009,charlena@sample.edu
35,Marmawke,Gerry,15.848456649109721,gerry@sample.edu
36,Gaeta,Almeda,47.57880715187639,almeda@sample.edu
37,Atcliffe,Becca,38.00829225219786,becca@sample.edu
38,Flavia,Daffy,67.39002289250493,daffy@sample.edu
39,Nessie,Anthe,63.40058350469917,anthe@sample.edu
40,Bonis,Ellette,22.22103902604431,ellette@sample.edu
41,Barstow,Deidre,40.012832544744015,deidre@sample.edu
42,Friedly,Esmeralda,66.45633818116039,esmeralda@sample.edu
43,Mellisent,Harriott,22.144957492128015,harriott@sample.edu
44,Eveleen,Jan,13.466325285844505,jan@sample.edu
45,Giustino,Melony,44.28641360718757,melony@sample.edu
46,Wilhelmine,Glenda,86.56035549938679,glenda@sample.edu
47,Janean,Georgeta,96.68447109870613,georgeta@sample.edu
48,Cott,Damita,51.3420679140836,damita@sample.edu
49,Cline,Madalena,36.07008329126984,madalena@sample.edu
50,Hulda,Sibeal,38.201399869285524,sibeal@sample.edu
